trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,7.96,,
2,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,7.92,,
3,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,5.29,,
4,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,4.52,,
5,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,4.23,,
6,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,6.12,,
7,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,3.03,,
8,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.39,,
9,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.22,,
10,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.18,,
11,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,3.98,,
12,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.77,,
13,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.21,,
14,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,4.13,,
15,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,2.72,,
16,1,True,1,14,0,3,0,,,,catch,0,,1,,0,0,3.24,,
17,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.51,,
18,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.07,,
19,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.09,,
20,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.7,,
21,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,2.94,,
22,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.31,,
23,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.15,,
24,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.85,,
25,1,True,0,14,1,6,0,,,,catch,0,,1,,0,0,2.16,,
26,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.67,,
27,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.0,,
28,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.16,,
29,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,1.86,,
30,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,2.17,,
31,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.83,,
32,2,True,0,14,1,3,0,,,,catch,0,,1,,0,0,2.45,,
33,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.84,,
34,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.05,,
35,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,1.8,,
36,2,True,1,14,0,5,0,,,,catch,0,,1,,0,0,2.09,,
37,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.81,,
38,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.08,,
39,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.54,,
40,2,True,1,14,0,4,0,,,,catch,0,,1,,0,0,1.95,,
41,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.95,,
42,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.77,,
43,2,True,0,14,0,3,1,,,,catch,0,,1,,0,0,2.03,,
44,2,True,1,14,1,6,1,,,,catch,0,,1,,0,0,1.91,,
45,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,2.08,,
46,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,1.69,,
47,2,True,1,12,0,6,0,,,,catch,0,,1,,0,0,2.24,,
48,2,True,1,13,1,6,1,,,,catch,0,,1,,0,0,3.57,,
49,2,True,1,13,0,14,0,,,,catch,0,,1,,0,0,3.43,,
50,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,2.28,,
51,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,2.09,,
52,2,True,0,13,0,11,1,,,,catch,0,,1,,0,0,2.12,,
53,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,1.99,,
54,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.93,,
55,2,True,1,12,0,13,0,,,,catch,0,,1,,0,0,1.82,,
56,2,True,1,13,0,2,0,,,,catch,0,,1,,0,0,3.2,,
57,2,True,1,14,1,8,1,,,,catch,0,,1,,0,0,1.71,,
58,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,2.59,,
59,2,True,1,13,0,4,0,,,,catch,0,,1,,0,0,2.12,,
60,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.9,,
61,3,False,1,15,1,2,1,1,2,1,forceblk4,2,2,0,1,1,0,3.52,16.16,17.18
62,3,False,1,15,0,1,0,0,1,0,forceblk4,1,1,0,1,1,0,3.1,4.57,5.58
63,3,False,0,15,1,3,0,1,3,0,forceblk4,2,2,0,0,1,0,3.94,3.51,4.52
64,3,False,1,15,1,4,1,1,4,1,forceblk4,1,1,0,1,1,0,2.17,4.94,5.95
65,3,False,1,15,0,5,0,0,2,0,forceblk4,1,1,0,1,1,0,2.24,5.28,6.29
66,3,False,0,15,1,6,0,1,3,0,forceblk4,2,2,0,0,1,0,3.44,6.61,7.62
67,3,False,0,15,0,11,1,0,11,1,forceblk4,1,1,0,0,1,0,3.5,3.48,4.49
